ID,Sport,Emmer (80/20),Expected RPE,TSS,Totale Duur (min),Totale Afstand (m),Type Training,Doelwit Evenement,Tijd 1,Afstand 1,Zone 1,Materiaal 1,Slag 1,Tijd 2,Afstand 2,Zone 2,Materiaal 2,Slag 2,Tijd 3,Afstand 3,Zone 3,Materiaal 3,Slag 3,Tijd 4,Afstand 4,Zone 4,Materiaal 4,Slag 4,Tijd 5,Afstand 5,Zone 5,Materiaal 5,Slag 5,Tijd 6,Afstand 6,Zone 6,Materiaal 6,Slag 6,Tijd 7,Afstand 7,Zone 7,Materiaal 7,Slag 7,Tijd 8,Afstand 8,Zone 8,Materiaal 8,Slag 8,Tijd 9,Afstand 9,Zone 9,Materiaal 9,Slag 9,Tijd 10,Afstand 10,Zone 10,Materiaal 10,Slag 10,Tijd 11,Afstand 11,Zone 11,Materiaal 11,Slag 11,Tijd 12,Afstand 12,Zone 12,Materiaal 12,Slag 12,Tijd 13,Afstand 13,Zone 13,Materiaal 13,Slag 13,Tijd 14,Afstand 14,Zone 14,Materiaal 14,Slag 14,Tijd 15,Afstand 15,Zone 15,Materiaal 15,Slag 15,Tijd 16,Afstand 16,Zone 16,Materiaal 16,Slag 16,Tijd 17,Afstand 17,Zone 17,Materiaal 17,Slag 17,Tijd 18,Afstand 18,Zone 18,Materiaal 18,Slag 18,Tijd 19,Afstand 19,Zone 19,Materiaal 19,Slag 19,Tijd 20,Afstand 20,Zone 20,Materiaal 20,Slag 20,Tijd 21,Afstand 21,Zone 21,Materiaal 21,Slag 21,Tijd 22,Afstand 22,Zone 22,Materiaal 22,Slag 22,Tijd 23,Afstand 23,Zone 23,Materiaal 23,Slag 23,Tijd 24,Afstand 24,Zone 24,Materiaal 24,Slag 24,Tijd 25,Afstand 25,Zone 25,Materiaal 25,Slag 25,Tijd 26,Afstand 26,Zone 26,Materiaal 26,Slag 26,Tijd 27,Afstand 27,Zone 27,Materiaal 27,Slag 27,Tijd 28,Afstand 28,Zone 28,Materiaal 28,Slag 28,Tijd 29,Afstand 29,Zone 29,Materiaal 29,Slag 29,Tijd 30,Afstand 30,Zone 30,Materiaal 30,Slag 30
BIK-012,Fietsen,80%,4,143,180,,Techniek,Halve,15',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-013,Fietsen,80%,4,195,240,,Techniek,Halve,15',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-014,Fietsen,80%,4,195,240,,Techniek,Halve,15',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-015,Fietsen,80%,4,143,180,,Techniek,Halve,15',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,5',,1,,,15',,2,,,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-016,Fietsen,20%,7,117,120,,Sweetspot,Halve,15',,2,,,10',,3,,,5',,1,,,10',,3,,,5',,1,,,10',,3,,,5',,1,,,10',,3,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-017,Fietsen,20%,7,121,120,,Sweetspot,Halve,15',,2,,,15',,3,,,5',,1,,,15',,3,,,5',,1,,,15',,3,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-018,Fietsen,20%,7,121,120,,Sweetspot,Halve,15',,2,,,15',,3,,,5',,1,,,15',,3,,,5',,1,,,15',,3,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-019,Fietsen,20%,7,117,120,,Sweetspot,Halve,15',,2,,,10',,3,,,5',,1,,,10',,3,,,5',,1,,,10',,3,,,5',,1,,,10',,3,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-020,Fietsen,20%,7,125,120,,Sweetspot,Halve,15',,2,,,15',,3,,,5',,1,,,15',,3,,,5',,1,,,15',,3,,,5',,1,,,15',,3,,,5',,1,,,10',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-021,Fietsen,20%,8,135,120,,Over-Under,Volledige,15',,2,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,15',,2,,,15',,1,,
BIK-022,Fietsen,20%,8,135,120,,Over-Under,Volledige,15',,2,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,15',,2,,,15',,1,,
BIK-023,Fietsen,20%,8,135,120,,Over-Under,Volledige,15',,2,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,15',,2,,,15',,1,,
BIK-024,Fietsen,20%,8,163,150,,Over-Under,Volledige,15',,2,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,45',,2,,,15',,1,,
BIK-025,Fietsen,20%,8,135,120,,Over-Under,Volledige,15',,2,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,2',,4,,,3',,3,,,5',,1,,,15',,2,,,15',,1,,
BIK-026,Fietsen,20%,9,90,90,,VO2-Max,Sprint,15',,2,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,20',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-027,Fietsen,20%,9,106,90,,VO2-Max,Sprint,15',,2,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,20',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-028,Fietsen,20%,9,106,90,,VO2-Max,Sprint,15',,2,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,5',,5,,,3',,1,,,20',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-029,Fietsen,20%,9,126,120,,VO2-Max,Sprint,15',,2,,,5',,5,,,5',,1,,,5',,5,,,5',,1,,,5',,5,,,5',,1,,,5',,5,,,5',,1,,,50',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-030,Fietsen,20%,9,118,120,,VO2-Max,Sprint,15',,2,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,3',,5,,,5',,1,,,50',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-031,Fietsen,20%,8,135,120,,Drempel,Halve,15',,2,,,15',,4,,,5',,1,,,15',,4,,,5',,1,,,15',,4,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-032,Fietsen,20%,8,130,120,,Drempel,Halve,15',,2,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-033,Fietsen,20%,8,130,120,,Drempel,Halve,15',,2,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-034,Fietsen,20%,8,135,120,,Drempel,Halve,15',,2,,,15',,4,,,5',,1,,,15',,4,,,5',,1,,,15',,4,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-035,Fietsen,20%,8,130,120,,Drempel,Halve,15',,2,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,10',,4,,,5',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-036,Fietsen,20%,9,103,90,,Piramide,Sprint,15',,2,,,1',,5,,,1',,1,,,2',,5,,,2',,1,,,3',,5,,,3',,1,,,4',,5,,,4',,1,,,5',,5,,,5',,1,,,4',,5,,,4',,1,,,3',,5,,,3',,1,,,2',,5,,,2',,1,,,1',,5,,,1',,1,,,10',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-037,Fietsen,20%,9,103,90,,Piramide,Sprint,15',,2,,,1',,5,,,1',,1,,,2',,5,,,2',,1,,,3',,5,,,3',,1,,,4',,5,,,4',,1,,,5',,5,,,5',,1,,,4',,5,,,4',,1,,,3',,5,,,3',,1,,,2',,5,,,2',,1,,,1',,5,,,1',,1,,,10',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-038,Fietsen,20%,9,131,120,,Piramide,Sprint,15',,2,,,1',,5,,,1',,1,,,2',,5,,,2',,1,,,3',,5,,,3',,1,,,4',,5,,,4',,1,,,5',,5,,,5',,1,,,4',,5,,,4',,1,,,3',,5,,,3',,1,,,2',,5,,,2',,1,,,1',,5,,,1',,1,,,40',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-039,Fietsen,20%,9,103,90,,Piramide,Sprint,15',,2,,,1',,5,,,1',,1,,,2',,5,,,2',,1,,,3',,5,,,3',,1,,,4',,5,,,4',,1,,,5',,5,,,5',,1,,,4',,5,,,4',,1,,,3',,5,,,3',,1,,,2',,5,,,2',,1,,,1',,5,,,1',,1,,,10',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-040,Fietsen,20%,9,103,90,,Piramide,Sprint,15',,2,,,1',,5,,,1',,1,,,2',,5,,,2',,1,,,3',,5,,,3',,1,,,4',,5,,,4',,1,,,5',,5,,,5',,1,,,4',,5,,,4',,1,,,3',,5,,,3',,1,,,2',,5,,,2',,1,,,1',,5,,,1',,1,,,10',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-041,Fietsen,20%,8,230,240,,Surge,Fondo,25',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,122',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-042,Fietsen,20%,8,176,180,,Surge,Fondo,25',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,40',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-043,Fietsen,20%,8,176,180,,Surge,Fondo,25',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,40',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-044,Fietsen,20%,8,176,180,,Surge,Fondo,25',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,40',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-045,Fietsen,20%,8,230,240,,Surge,Fondo,25',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,10',,2,,,1',,5,,,122',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-046,Fietsen,20%,8,191,195,,Progressie,Halve,30',,1,,,105',,2,,,30',,3,,,15',,4,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-047,Fietsen,20%,8,191,195,,Progressie,Halve,30',,1,,,105',,2,,,30',,3,,,15',,4,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-048,Fietsen,20%,8,247,255,,Progressie,Halve,30',,1,,,165',,2,,,30',,3,,,15',,4,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-049,Fietsen,20%,8,247,255,,Progressie,Halve,30',,1,,,165',,2,,,30',,3,,,15',,4,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK-050,Fietsen,20%,8,191,195,,Progressie,Halve,30',,1,,,105',,2,,,30',,3,,,15',,4,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN-001,Lopen,80%,3,18,30,,Herstel,Fitheid,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN-002,Lopen,80%,3,27,45,,Herstel,Fitheid,45',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN-003,Lopen,80%,3,18,30,,Herstel,Fitheid,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN-004,Lopen,80%,3,18,30,,Herstel,Fitheid,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN-005,Lopen,80%,3,18,30,,Herstel,Fitheid,30',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN-006,Lopen,80%,4,46,60,,Duur,Halve,15',,1,,,30',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN-007,Lopen,80%,4,60,75,,Duur,Halve,15',,1,,,45',,2,,,15',,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
